,prediction,time
0,0.0,2023-05-01 00:00:00
1,0.0,2023-05-01 01:00:00
2,0.0,2023-05-01 02:00:00
3,46.79400007814169,2023-05-01 03:00:00
4,418.3080027008057,2023-05-01 04:00:00
5,976.4281950378418,2023-05-01 05:00:00
6,1799.784797668457,2023-05-01 06:00:00
7,3170.934803466797,2023-05-01 07:00:00
8,3135.037384033203,2023-05-01 08:00:00
9,2692.324786376953,2023-05-01 09:00:00
10,3049.939211730957,2023-05-01 10:00:00
11,2988.464604797364,2023-05-01 11:00:00
12,2724.4293856811523,2023-05-01 12:00:00
13,2834.361192626953,2023-05-01 13:00:00
14,3043.6120068359373,2023-05-01 14:00:00
15,1741.5464073181151,2023-05-01 15:00:00
16,1402.5131991577148,2023-05-01 16:00:00
17,793.1989964294434,2023-05-01 17:00:00
18,236.1457999420166,2023-05-01 18:00:00
19,26.97420011639595,2023-05-01 19:00:00
20,0.0,2023-05-01 20:00:00
21,0.0,2023-05-01 21:00:00
22,0.0,2023-05-01 22:00:00
23,0.0,2023-05-01 23:00:00
24,0.0,2023-05-06 00:00:00
25,0.0,2023-05-06 01:00:00
26,0.0,2023-05-06 02:00:00
27,131.51050018310548,2023-05-06 03:00:00
28,623.6163948059082,2023-05-06 04:00:00
29,1433.7048034667969,2023-05-06 05:00:00
30,2371.67149597168,2023-05-06 06:00:00
31,2708.503589477539,2023-05-06 07:00:00
32,3673.163979492188,2023-05-06 08:00:00
33,4025.078210449218,2023-05-06 09:00:00
34,3975.938994140625,2023-05-06 10:00:00
35,3917.095587158203,2023-05-06 11:00:00
36,3775.424392089844,2023-05-06 12:00:00
37,3404.66720703125,2023-05-06 13:00:00
38,2730.571789550781,2023-05-06 14:00:00
39,2959.758994140625,2023-05-06 15:00:00
40,1847.9273928833009,2023-05-06 16:00:00
41,951.925705947876,2023-05-06 17:00:00
42,457.371192855835,2023-05-06 18:00:00
43,123.12300024032592,2023-05-06 19:00:00
44,0.0,2023-05-06 20:00:00
45,0.0,2023-05-06 21:00:00
46,0.0,2023-05-06 22:00:00
47,0.0,2023-05-06 23:00:00
48,0.0,2023-05-14 00:00:00
49,0.0,2023-05-14 01:00:00
50,20.462200157642364,2023-05-14 02:00:00
51,284.8472010421753,2023-05-14 03:00:00
52,729.7136032867431,2023-05-14 04:00:00
53,1181.136000366211,2023-05-14 05:00:00
54,2718.42341003418,2023-05-14 06:00:00
55,3249.120592041016,2023-05-14 07:00:00
56,3742.4045935058593,2023-05-14 08:00:00
57,3852.4530114746094,2023-05-14 09:00:00
58,4415.503381347657,2023-05-14 10:00:00
59,3579.4902136230467,2023-05-14 11:00:00
60,4218.136999511718,2023-05-14 12:00:00
61,3707.5433996582033,2023-05-14 13:00:00
62,2872.416802368164,2023-05-14 14:00:00
63,1791.3653953552246,2023-05-14 15:00:00
64,1189.8722062683105,2023-05-14 16:00:00
